2025-02-25 02:59:00 status unpacked libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:59:00 install libkrb5support0:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:59:00 status half-installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 install libk5crypto3:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:59:00 status half-installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 install libkeyutils1:arm64 <none> 1.6.3-2
2025-02-25 02:59:00 status half-installed libkeyutils1:arm64 1.6.3-2
2025-02-25 02:59:00 status unpacked libkeyutils1:arm64 1.6.3-2
2025-02-25 02:59:00 install libkrb5-3:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:59:00 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 install libgssapi-krb5-2:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:59:00 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:59:00 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2025-02-25 02:59:00 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:59:00 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:59:00 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2025-02-25 02:59:00 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:59:00 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:59:00 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2025-02-25 02:59:00 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:59:00 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:59:00 install libnghttp2-14:arm64 <none> 1.52.0-1+deb12u2
2025-02-25 02:59:00 status half-installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:59:00 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:59:00 install libpsl5:arm64 <none> 0.21.2-1
2025-02-25 02:59:00 status half-installed libpsl5:arm64 0.21.2-1
2025-02-25 02:59:00 status unpacked libpsl5:arm64 0.21.2-1
2025-02-25 02:59:00 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:59:00 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:59:00 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:59:00 install libssh2-1:arm64 <none> 1.10.0-3+b1
2025-02-25 02:59:00 status half-installed libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:59:00 status unpacked libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:59:00 install libcurl4:arm64 <none> 7.88.1-10+deb12u8
2025-02-25 02:59:00 status half-installed libcurl4:arm64 7.88.1-10+deb12u8
2025-02-25 02:59:01 status unpacked libcurl4:arm64 7.88.1-10+deb12u8
2025-02-25 02:59:01 install curl:arm64 <none> 7.88.1-10+deb12u8
2025-02-25 02:59:01 status half-installed curl:arm64 7.88.1-10+deb12u8
2025-02-25 02:59:01 status unpacked curl:arm64 7.88.1-10+deb12u8
2025-02-25 02:59:01 install fonts-dejavu-core:all <none> 2.37-6
2025-02-25 02:59:01 status half-installed fonts-dejavu-core:all 2.37-6
2025-02-25 02:59:01 status unpacked fonts-dejavu-core:all 2.37-6
2025-02-25 02:59:01 install fontconfig-config:arm64 <none> 2.14.1-4
2025-02-25 02:59:01 status half-installed fontconfig-config:arm64 2.14.1-4
2025-02-25 02:59:01 status unpacked fontconfig-config:arm64 2.14.1-4
2025-02-25 02:59:01 install libabsl20220623:arm64 <none> 20220623.1-1
2025-02-25 02:59:01 status half-installed libabsl20220623:arm64 20220623.1-1
2025-02-25 02:59:01 status unpacked libabsl20220623:arm64 20220623.1-1
2025-02-25 02:59:01 install libaom3:arm64 <none> 3.6.0-1+deb12u1
2025-02-25 02:59:01 status half-installed libaom3:arm64 3.6.0-1+deb12u1
2025-02-25 02:59:01 status unpacked libaom3:arm64 3.6.0-1+deb12u1
2025-02-25 02:59:01 install libdav1d6:arm64 <none> 1.0.0-2+deb12u1
2025-02-25 02:59:01 status half-installed libdav1d6:arm64 1.0.0-2+deb12u1
2025-02-25 02:59:01 status unpacked libdav1d6:arm64 1.0.0-2+deb12u1
2025-02-25 02:59:01 install libgav1-1:arm64 <none> 0.18.0-1+b1
2025-02-25 02:59:01 status half-installed libgav1-1:arm64 0.18.0-1+b1
2025-02-25 02:59:01 status unpacked libgav1-1:arm64 0.18.0-1+b1
2025-02-25 02:59:01 install librav1e0:arm64 <none> 0.5.1-6
2025-02-25 02:59:01 status half-installed librav1e0:arm64 0.5.1-6
2025-02-25 02:59:01 status unpacked librav1e0:arm64 0.5.1-6
2025-02-25 02:59:01 install libsvtav1enc1:arm64 <none> 1.4.1+dfsg-1
2025-02-25 02:59:01 status half-installed libsvtav1enc1:arm64 1.4.1+dfsg-1
2025-02-25 02:59:01 status unpacked libsvtav1enc1:arm64 1.4.1+dfsg-1
2025-02-25 02:59:01 install libjpeg62-turbo:arm64 <none> 1:2.1.5-2
2025-02-25 02:59:01 status half-installed libjpeg62-turbo:arm64 1:2.1.5-2
2025-02-25 02:59:01 status unpacked libjpeg62-turbo:arm64 1:2.1.5-2
2025-02-25 02:59:01 install libyuv0:arm64 <none> 0.0~git20230123.b2528b0-1
2025-02-25 02:59:01 status half-installed libyuv0:arm64 0.0~git20230123.b2528b0-1
